,sender,receiver,weight
0,Agent_0,Agent_1,1
1,Agent_0,Agent_11,2
2,Agent_0,Agent_13,2
3,Agent_0,Agent_14,1
4,Agent_0,Agent_16,1
5,Agent_0,Agent_17,1
6,Agent_0,Agent_18,1
7,Agent_0,Agent_20,1
8,Agent_0,Agent_22,1
9,Agent_0,Agent_23,3
10,Agent_0,Agent_24,1
11,Agent_0,Agent_28,1
12,Agent_0,Agent_3,2
13,Agent_0,Agent_5,1
14,Agent_0,Agent_8,1
15,Agent_1,Agent_11,1
16,Agent_1,Agent_13,1
17,Agent_1,Agent_14,3
18,Agent_1,Agent_16,1
19,Agent_1,Agent_17,1
20,Agent_1,Agent_19,2
21,Agent_1,Agent_20,1
22,Agent_1,Agent_22,1
23,Agent_1,Agent_23,5
24,Agent_1,Agent_25,1
25,Agent_1,Agent_29,1
26,Agent_1,Agent_4,1
27,Agent_1,Agent_7,1
28,Agent_10,Agent_11,3
29,Agent_10,Agent_12,2
30,Agent_10,Agent_15,1
31,Agent_10,Agent_17,1
32,Agent_10,Agent_22,1
33,Agent_10,Agent_23,4
34,Agent_10,Agent_25,1
35,Agent_10,Agent_26,1
36,Agent_10,Agent_27,1
37,Agent_10,Agent_28,1
38,Agent_10,Agent_7,2
39,Agent_10,Agent_8,1
40,Agent_10,Agent_9,1
41,Agent_11,Agent_0,1
42,Agent_11,Agent_10,3
43,Agent_11,Agent_14,1
44,Agent_11,Agent_17,1
45,Agent_11,Agent_2,2
46,Agent_11,Agent_20,1
47,Agent_11,Agent_21,1
48,Agent_11,Agent_22,2
49,Agent_11,Agent_23,1
50,Agent_11,Agent_24,1
51,Agent_11,Agent_25,1
52,Agent_11,Agent_29,2
53,Agent_11,Agent_7,2
54,Agent_11,Agent_8,1
55,Agent_12,Agent_10,1
56,Agent_12,Agent_11,2
57,Agent_12,Agent_13,2
58,Agent_12,Agent_14,2
59,Agent_12,Agent_18,3
60,Agent_12,Agent_20,1
61,Agent_12,Agent_21,1
62,Agent_12,Agent_22,2
63,Agent_12,Agent_23,2
64,Agent_12,Agent_26,1
65,Agent_12,Agent_28,1
66,Agent_12,Agent_29,1
67,Agent_12,Agent_6,1
68,Agent_13,Agent_11,1
69,Agent_13,Agent_16,1
70,Agent_13,Agent_17,1
71,Agent_13,Agent_18,2
72,Agent_13,Agent_19,2
73,Agent_13,Agent_20,1
74,Agent_13,Agent_22,2
75,Agent_13,Agent_23,2
76,Agent_13,Agent_27,2
77,Agent_13,Agent_28,1
78,Agent_13,Agent_3,1
79,Agent_13,Agent_5,2
80,Agent_13,Agent_6,1
81,Agent_13,Agent_8,1
82,Agent_14,Agent_11,1
83,Agent_14,Agent_16,2
84,Agent_14,Agent_17,1
85,Agent_14,Agent_18,1
86,Agent_14,Agent_19,1
87,Agent_14,Agent_2,1
88,Agent_14,Agent_21,2
89,Agent_14,Agent_22,1
90,Agent_14,Agent_24,1
91,Agent_14,Agent_25,1
92,Agent_14,Agent_26,1
93,Agent_14,Agent_27,1
94,Agent_14,Agent_28,2
95,Agent_14,Agent_29,1
96,Agent_14,Agent_5,1
97,Agent_14,Agent_7,1
98,Agent_14,Agent_8,1
99,Agent_15,Agent_0,1
100,Agent_15,Agent_10,1
101,Agent_15,Agent_11,2
102,Agent_15,Agent_12,4
103,Agent_15,Agent_13,2
104,Agent_15,Agent_14,1
105,Agent_15,Agent_17,2
106,Agent_15,Agent_20,1
107,Agent_15,Agent_22,1
108,Agent_15,Agent_24,2
109,Agent_15,Agent_27,1
110,Agent_15,Agent_29,1
111,Agent_15,Agent_8,1
112,Agent_16,Agent_11,2
113,Agent_16,Agent_12,1
114,Agent_16,Agent_13,1
115,Agent_16,Agent_15,1
116,Agent_16,Agent_18,4
117,Agent_16,Agent_19,3
118,Agent_16,Agent_21,1
119,Agent_16,Agent_22,1
120,Agent_16,Agent_25,1
121,Agent_16,Agent_26,2
122,Agent_16,Agent_27,1
123,Agent_16,Agent_8,1
124,Agent_16,Agent_9,1
125,Agent_17,Agent_1,1
126,Agent_17,Agent_11,1
127,Agent_17,Agent_12,1
128,Agent_17,Agent_14,1
129,Agent_17,Agent_15,2
130,Agent_17,Agent_16,2
131,Agent_17,Agent_18,1
132,Agent_17,Agent_19,1
133,Agent_17,Agent_22,2
134,Agent_17,Agent_24,1
135,Agent_17,Agent_25,1
136,Agent_17,Agent_27,3
137,Agent_17,Agent_29,1
138,Agent_17,Agent_6,1
139,Agent_17,Agent_9,1
140,Agent_18,Agent_11,1
141,Agent_18,Agent_12,1
142,Agent_18,Agent_14,4
143,Agent_18,Agent_16,3
144,Agent_18,Agent_17,1
145,Agent_18,Agent_20,1
146,Agent_18,Agent_21,2
147,Agent_18,Agent_22,1
148,Agent_18,Agent_23,2
149,Agent_18,Agent_26,1
150,Agent_18,Agent_3,1
151,Agent_18,Agent_6,1
152,Agent_18,Agent_7,1
153,Agent_19,Agent_10,2
154,Agent_19,Agent_11,1
155,Agent_19,Agent_12,1
156,Agent_19,Agent_13,3
157,Agent_19,Agent_14,4
158,Agent_19,Agent_16,1
159,Agent_19,Agent_17,2
160,Agent_19,Agent_22,1
161,Agent_19,Agent_23,1
162,Agent_19,Agent_29,1
163,Agent_19,Agent_3,1
164,Agent_19,Agent_5,1
165,Agent_19,Agent_9,1
166,Agent_2,Agent_0,1
167,Agent_2,Agent_11,2
168,Agent_2,Agent_13,2
169,Agent_2,Agent_15,1
170,Agent_2,Agent_16,1
171,Agent_2,Agent_18,1
172,Agent_2,Agent_22,3
173,Agent_2,Agent_23,2
174,Agent_2,Agent_28,1
175,Agent_2,Agent_29,2
176,Agent_2,Agent_6,1
177,Agent_2,Agent_7,2
178,Agent_2,Agent_8,1
179,Agent_20,Agent_11,1
180,Agent_20,Agent_15,1
181,Agent_20,Agent_16,2
182,Agent_20,Agent_17,2
183,Agent_20,Agent_18,1
184,Agent_20,Agent_21,1
185,Agent_20,Agent_22,1
186,Agent_20,Agent_23,2
187,Agent_20,Agent_24,2
188,Agent_20,Agent_25,2
189,Agent_20,Agent_27,1
190,Agent_20,Agent_5,1
191,Agent_20,Agent_6,1
192,Agent_20,Agent_8,1
193,Agent_20,Agent_9,1
194,Agent_21,Agent_1,1
195,Agent_21,Agent_10,1
196,Agent_21,Agent_11,1
197,Agent_21,Agent_15,1
198,Agent_21,Agent_16,1
199,Agent_21,Agent_18,1
200,Agent_21,Agent_2,1
201,Agent_21,Agent_20,2
202,Agent_21,Agent_22,3
203,Agent_21,Agent_23,1
204,Agent_21,Agent_24,2
205,Agent_21,Agent_28,1
206,Agent_21,Agent_29,1
207,Agent_21,Agent_7,2
208,Agent_21,Agent_9,1
209,Agent_22,Agent_0,1
210,Agent_22,Agent_1,1
211,Agent_22,Agent_10,1
212,Agent_22,Agent_12,1
213,Agent_22,Agent_13,1
214,Agent_22,Agent_14,2
215,Agent_22,Agent_16,3
216,Agent_22,Agent_17,2
217,Agent_22,Agent_18,1
218,Agent_22,Agent_23,1
219,Agent_22,Agent_24,1
220,Agent_22,Agent_28,1
221,Agent_22,Agent_29,2
222,Agent_22,Agent_6,1
223,Agent_22,Agent_9,1
224,Agent_23,Agent_10,1
225,Agent_23,Agent_12,2
226,Agent_23,Agent_13,1
227,Agent_23,Agent_14,1
228,Agent_23,Agent_16,1
229,Agent_23,Agent_18,1
230,Agent_23,Agent_19,3
231,Agent_23,Agent_20,1
232,Agent_23,Agent_22,1
233,Agent_23,Agent_24,2
234,Agent_23,Agent_25,1
235,Agent_23,Agent_27,1
236,Agent_23,Agent_28,1
237,Agent_23,Agent_5,1
238,Agent_23,Agent_6,1
239,Agent_23,Agent_8,1
