,Agent_0,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Agent_11,Agent_12,Agent_13,Agent_14,Agent_15,Agent_16,Agent_17,Agent_18,Agent_19,Agent_20,Agent_21,Agent_22,Agent_23,Agent_24,Agent_25,Agent_26,Agent_27,Agent_28,Agent_29,Total_Payoff
0,"{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(72.77)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(93.71)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(55.44)]}","{'assigned_arms': [31, 48], 'chosen_arm': [31], 'payoff': [np.float64(18.56)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(31.27)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(73.21)]}","{'assigned_arms': [43, 41, 29], 'chosen_arm': [43], 'payoff': [np.float64(98.16)]}","{'assigned_arms': [45, 18], 'chosen_arm': [45], 'payoff': [np.float64(16.16)]}","{'assigned_arms': [26, 20], 'chosen_arm': [26], 'payoff': [np.float64(83.83)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(46.93)]}","{'assigned_arms': [12, 4], 'chosen_arm': [12], 'payoff': [np.float64(73.28)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(32.11)]}","{'assigned_arms': [5, 16], 'chosen_arm': [5], 'payoff': [np.float64(99.57)]}","{'assigned_arms': [2, 6, 14], 'chosen_arm': [6], 'payoff': [np.float64(46.09)]}","{'assigned_arms': [21, 47], 'chosen_arm': [21], 'payoff': [np.float64(21.76)]}","{'assigned_arms': [7, 35, 9], 'chosen_arm': [35], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [11, 39], 'chosen_arm': [39], 'payoff': [np.float64(82.5)]}","{'assigned_arms': [36, 42], 'chosen_arm': [36], 'payoff': [np.float64(89.38)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(34.34)]}","{'assigned_arms': [25, 33], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [49, 27], 'chosen_arm': [27], 'payoff': [np.float64(57.92)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(69.52)]}","{'assigned_arms': [34, 40], 'chosen_arm': [34], 'payoff': [np.float64(45.22)]}","{'assigned_arms': [13, 28], 'chosen_arm': [13], 'payoff': [np.float64(19.62)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(83.13)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(84.95)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(47.42)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(93.93)]}","{'assigned_arms': [24, 46], 'chosen_arm': [24], 'payoff': [np.float64(58.5)]}","{'assigned_arms': [15, 44], 'chosen_arm': [44], 'payoff': [np.float64(35.58)]}",55.495333333333335
1,"{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(90.62)]}","{'assigned_arms': [34, 5], 'chosen_arm': [5], 'payoff': [np.float64(91.13)]}","{'assigned_arms': [12, 28, 13], 'chosen_arm': [12], 'payoff': [np.float64(78.69)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(87.3)]}","{'assigned_arms': [31, 46, 44], 'chosen_arm': [44], 'payoff': [np.float64(43.2)]}","{'assigned_arms': [25, 18, 7, 10], 'chosen_arm': [10], 'payoff': [np.float64(31.01)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(78.61)]}","{'assigned_arms': [45, 48], 'chosen_arm': [45], 'payoff': [np.float64(17.27)]}","{'assigned_arms': [1, 16], 'chosen_arm': [1], 'payoff': [np.float64(75.11)]}","{'assigned_arms': [15, 21], 'chosen_arm': [21], 'payoff': [np.float64(32.09)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(60.41)]}","{'assigned_arms': [20, 4], 'chosen_arm': [4], 'payoff': [np.float64(29.07)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(12.91)]}","{'assigned_arms': [17, 35], 'chosen_arm': [17], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(12.49)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(48.57)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(38.37)]}","{'assigned_arms': [32, 19], 'chosen_arm': [32], 'payoff': [np.float64(75.81)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(40.42)]}","{'assigned_arms': [24, 30], 'chosen_arm': [24], 'payoff': [np.float64(59.37)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(77.41)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(27.82)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(64.56)]}","{'assigned_arms': [33, 22], 'chosen_arm': [33], 'payoff': [np.float64(2.79)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(64.74)]}","{'assigned_arms': [36, 40, 2], 'chosen_arm': [36], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [27, 37], 'chosen_arm': [37], 'payoff': [np.float64(66.3)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(40.99)]}","{'assigned_arms': [0, 26], 'chosen_arm': [26], 'payoff': [np.float64(91.92)]}",54.632666666666665
2,"{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(18.65)]}","{'assigned_arms': [22, 23, 6], 'chosen_arm': [23], 'payoff': [np.float64(80.82)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(48.93)]}","{'assigned_arms': [5, 21, 42], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [0, 19], 'chosen_arm': [19], 'payoff': [np.float64(35.1)]}","{'assigned_arms': [46, 8], 'chosen_arm': [8], 'payoff': [np.float64(62.25)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.46)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(37.49)]}","{'assigned_arms': [20, 25], 'chosen_arm': [20], 'payoff': [np.float64(17.22)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(66.04)]}","{'assigned_arms': [35, 27, 9, 4], 'chosen_arm': [27], 'payoff': [np.float64(54.05)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(43.07)]}","{'assigned_arms': [3, 31, 29], 'chosen_arm': [3], 'payoff': [np.float64(90.04)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(70.97)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(41.58)]}","{'assigned_arms': [36, 1], 'chosen_arm': [36], 'payoff': [np.float64(92.0)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(9.77)]}","{'assigned_arms': [47, 32], 'chosen_arm': [32], 'payoff': [np.float64(69.12)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(81.14)]}","{'assigned_arms': [15, 40, 37], 'chosen_arm': [37], 'payoff': [np.float64(64.88)]}","{'assigned_arms': [18, 24], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(2.68)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(55.59)]}","{'assigned_arms': [39, 26, 49], 'chosen_arm': [49], 'payoff': [np.float64(74.22)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(54.57)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(7.63)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(51.89)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(72.2)]}","{'assigned_arms': [10, 17], 'chosen_arm': [17], 'payoff': [np.float64(93.15)]}",56.51700000000001
3,"{'assigned_arms': [9, 19, 4], 'chosen_arm': [9], 'payoff': [np.float64(34.55)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(24.46)]}","{'assigned_arms': [48, 20, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(25.43)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(24.32)]}","{'assigned_arms': [49, 2], 'chosen_arm': [2], 'payoff': [np.float64(60.8)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(14.35)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(41.85)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(85.36)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(81.3)]}","{'assigned_arms': [15, 31], 'chosen_arm': [15], 'payoff': [np.float64(22.07)]}","{'assigned_arms': [28, 23], 'chosen_arm': [28], 'payoff': [np.float64(57.65)]}","{'assigned_arms': [12, 1], 'chosen_arm': [1], 'payoff': [np.float64(75.78)]}","{'assigned_arms': [30, 45], 'chosen_arm': [30], 'payoff': [np.float64(60.03)]}","{'assigned_arms': [21, 25, 42], 'chosen_arm': [21], 'payoff': [np.float64(26.04)]}","{'assigned_arms': [26, 34, 27], 'chosen_arm': [27], 'payoff': [np.float64(51.76)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(87.07)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(13.13)]}","{'assigned_arms': [13, 33], 'chosen_arm': [13], 'payoff': [np.float64(16.1)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(54.15)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(47.46)]}","{'assigned_arms': [3, 10], 'chosen_arm': [3], 'payoff': [np.float64(94.55)]}","{'assigned_arms': [39, 18], 'chosen_arm': [18], 'payoff': [np.float64(96.06)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(59.32)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(67.21)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(75.63)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(92.48)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(37.4)]}","{'assigned_arms': [46, 17], 'chosen_arm': [17], 'payoff': [np.float64(98.32)]}","{'assigned_arms': [38, 35, 29, 7], 'chosen_arm': [38], 'payoff': [np.float64(49.97)]}",55.82
4,"{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(90.28)]}","{'assigned_arms': [28, 2, 30], 'chosen_arm': [2], 'payoff': [np.float64(59.87)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(99.28)]}","{'assigned_arms': [4, 38], 'chosen_arm': [4], 'payoff': [np.float64(37.78)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(45.02)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(2.37)]}","{'assigned_arms': [18, 48], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [40, 34], 'chosen_arm': [40], 'payoff': [np.float64(24.77)]}","{'assigned_arms': [8, 41], 'chosen_arm': [41], 'payoff': [np.float64(45.93)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(47.88)]}","{'assigned_arms': [26, 12, 7, 24], 'chosen_arm': [26], 'payoff': [np.float64(84.66)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(81.26)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(24.1)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(6.72)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(17.25)]}","{'assigned_arms': [32, 37, 11, 47], 'chosen_arm': [37], 'payoff': [np.float64(72.19)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(7.2)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(22.3)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(95.92)]}","{'assigned_arms': [6, 19, 39, 42], 'chosen_arm': [6], 'payoff': [np.float64(55.42)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(23.06)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(5.33)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(83.86)]}","{'assigned_arms': [46, 23, 16], 'chosen_arm': [16], 'payoff': [np.float64(92.62)]}","{'assigned_arms': [35, 44], 'chosen_arm': [44], 'payoff': [np.float64(43.65)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(97.14)]}","{'assigned_arms': [31, 45], 'chosen_arm': [45], 'payoff': [np.float64(13.57)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(78.08)]}","{'assigned_arms': [22, 20], 'chosen_arm': [20], 'payoff': [np.float64(19.12)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(16.25)]}",49.76266666666667
5,"{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(87.23)]}","{'assigned_arms': [37, 32, 42], 'chosen_arm': [37], 'payoff': [np.float64(71.3)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(23.04)]}","{'assigned_arms': [39, 21], 'chosen_arm': [21], 'payoff': [np.float64(28.98)]}","{'assigned_arms': [25, 44, 34], 'chosen_arm': [44], 'payoff': [np.float64(36.02)]}","{'assigned_arms': [6, 35], 'chosen_arm': [6], 'payoff': [np.float64(58.59)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(58.27)]}","{'assigned_arms': [28, 20], 'chosen_arm': [28], 'payoff': [np.float64(82.65)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(83.2)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(72.99)]}","{'assigned_arms': [36, 12], 'chosen_arm': [36], 'payoff': [np.float64(89.33)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(47.24)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(67.82)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(97.81)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(49.5)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(44.74)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(90.5)]}","{'assigned_arms': [2, 47], 'chosen_arm': [2], 'payoff': [np.float64(67.08)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(43.03)]}","{'assigned_arms': [11, 29, 19], 'chosen_arm': [19], 'payoff': [np.float64(33.13)]}","{'assigned_arms': [3, 8, 33], 'chosen_arm': [3], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [4, 15], 'chosen_arm': [4], 'payoff': [np.float64(34.54)]}","{'assigned_arms': [7, 40], 'chosen_arm': [7], 'payoff': [np.float64(50.96)]}","{'assigned_arms': [43, 31], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [10, 48], 'chosen_arm': [10], 'payoff': [np.float64(27.52)]}","{'assigned_arms': [18, 9], 'chosen_arm': [18], 'payoff': [np.float64(94.17)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(80.58)]}","{'assigned_arms': [0, 14, 45], 'chosen_arm': [45], 'payoff': [np.float64(4.56)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(87.4)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(79.84)]}",63.06733333333332
6,"{'assigned_arms': [33, 20], 'chosen_arm': [33], 'payoff': [np.float64(0.95)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(38.44)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(35.73)]}","{'assigned_arms': [34, 5, 47], 'chosen_arm': [5], 'payoff': [np.float64(93.89)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(82.29)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(53.76)]}","{'assigned_arms': [48, 36], 'chosen_arm': [36], 'payoff': [np.float64(93.24)]}","{'assigned_arms': [6, 42, 14], 'chosen_arm': [6], 'payoff': [np.float64(51.38)]}","{'assigned_arms': [1, 39], 'chosen_arm': [1], 'payoff': [np.float64(82.77)]}","{'assigned_arms': [43, 8], 'chosen_arm': [43], 'payoff': [np.float64(94.6)]}","{'assigned_arms': [11, 45], 'chosen_arm': [11], 'payoff': [np.float64(1.63)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(63.59)]}","{'assigned_arms': [40, 19], 'chosen_arm': [40], 'payoff': [np.float64(15.28)]}","{'assigned_arms': [4, 22], 'chosen_arm': [4], 'payoff': [np.float64(28.78)]}","{'assigned_arms': [10, 25], 'chosen_arm': [10], 'payoff': [np.float64(26.74)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(53.79)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(88.5)]}","{'assigned_arms': [12, 13], 'chosen_arm': [12], 'payoff': [np.float64(67.05)]}","{'assigned_arms': [2, 30], 'chosen_arm': [30], 'payoff': [np.float64(62.47)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(78.53)]}","{'assigned_arms': [24, 31], 'chosen_arm': [31], 'payoff': [np.float64(16.53)]}","{'assigned_arms': [16, 35], 'chosen_arm': [16], 'payoff': [np.float64(86.15)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(50.19)]}","{'assigned_arms': [32, 37], 'chosen_arm': [37], 'payoff': [np.float64(67.99)]}","{'assigned_arms': [26, 0], 'chosen_arm': [26], 'payoff': [np.float64(90.14)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(10.2)]}","{'assigned_arms': [18, 21], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(43.56)]}","{'assigned_arms': [29, 23], 'chosen_arm': [23], 'payoff': [np.float64(64.82)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(75.28)]}",57.275666666666666
7,"{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(89.77)]}","{'assigned_arms': [9, 10, 35], 'chosen_arm': [35], 'payoff': [np.float64(7.06)]}","{'assigned_arms': [11, 41], 'chosen_arm': [11], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [40, 46], 'chosen_arm': [46], 'payoff': [np.float64(87.84)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(93.21)]}","{'assigned_arms': [16, 47, 24, 20], 'chosen_arm': [16], 'payoff': [np.float64(87.56)]}","{'assigned_arms': [26, 27], 'chosen_arm': [26], 'payoff': [np.float64(89.56)]}","{'assigned_arms': [30, 37], 'chosen_arm': [37], 'payoff': [np.float64(74.02)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(30.7)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(2.19)]}","{'assigned_arms': [36, 39, 22, 0], 'chosen_arm': [36], 'payoff': [np.float64(96.07)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(47.32)]}","{'assigned_arms': [23, 19, 29], 'chosen_arm': [19], 'payoff': [np.float64(30.08)]}","{'assigned_arms': [48, 49], 'chosen_arm': [48], 'payoff': [np.float64(54.71)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(50.82)]}","{'assigned_arms': [8, 28], 'chosen_arm': [28], 'payoff': [np.float64(65.18)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(49.4)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(44.05)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(74.83)]}","{'assigned_arms': [32, 13], 'chosen_arm': [32], 'payoff': [np.float64(69.5)]}","{'assigned_arms': [5, 4], 'chosen_arm': [5], 'payoff': [np.float64(96.12)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(13.03)]}","{'assigned_arms': [45, 17], 'chosen_arm': [17], 'payoff': [np.float64(93.3)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.44)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(5.1)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(80.95)]}","{'assigned_arms': [2, 44], 'chosen_arm': [44], 'payoff': [np.float64(52.04)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(18.51)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(46.35)]}",54.99033333333333
8,"{'assigned_arms': [12, 37], 'chosen_arm': [12], 'payoff': [np.float64(69.59)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(78.7)]}","{'assigned_arms': [16, 33, 38, 46], 'chosen_arm': [16], 'payoff': [np.float64(81.98)]}","{'assigned_arms': [42, 21], 'chosen_arm': [21], 'payoff': [np.float64(28.58)]}","{'assigned_arms': [31, 45], 'chosen_arm': [45], 'payoff': [np.float64(17.78)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(23.41)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(95.55)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(20.14)]}","{'assigned_arms': [26, 24], 'chosen_arm': [26], 'payoff': [np.float64(87.7)]}","{'assigned_arms': [4, 11], 'chosen_arm': [4], 'payoff': [np.float64(35.39)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(4.09)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(91.53)]}","{'assigned_arms': [28, 27, 30], 'chosen_arm': [28], 'payoff': [np.float64(77.01)]}","{'assigned_arms': [43, 10], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(13.04)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(82.37)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(32.39)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(94.49)]}","{'assigned_arms': [7, 13], 'chosen_arm': [7], 'payoff': [np.float64(54.77)]}","{'assigned_arms': [18, 41], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(70.52)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(59.87)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(30.8)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(85.27)]}","{'assigned_arms': [9, 44], 'chosen_arm': [44], 'payoff': [np.float64(43.32)]}","{'assigned_arms': [25, 22, 14, 6, 17], 'chosen_arm': [17], 'payoff': [np.float64(99.18)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(61.96)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(69.13)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(15.64)]}","{'assigned_arms': [34, 15, 48], 'chosen_arm': [34], 'payoff': [np.float64(36.52)]}",58.690666666666665
9,"{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(33.2)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(10.23)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(85.38)]}","{'assigned_arms': [17, 18, 32], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [5, 16], 'chosen_arm': [5], 'payoff': [np.float64(93.05)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(71.36)]}","{'assigned_arms': [27, 0, 13, 29], 'chosen_arm': [27], 'payoff': [np.float64(50.98)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(52.61)]}","{'assigned_arms': [48, 1], 'chosen_arm': [48], 'payoff': [np.float64(56.94)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(55.71)]}","{'assigned_arms': [28, 7], 'chosen_arm': [28], 'payoff': [np.float64(66.43)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(22.0)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(26.04)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(39.03)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(39.21)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(57.37)]}","{'assigned_arms': [2, 36], 'chosen_arm': [36], 'payoff': [np.float64(78.38)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(38.67)]}","{'assigned_arms': [37, 23, 30], 'chosen_arm': [37], 'payoff': [np.float64(74.07)]}","{'assigned_arms': [12, 10], 'chosen_arm': [12], 'payoff': [np.float64(73.67)]}","{'assigned_arms': [40, 14], 'chosen_arm': [14], 'payoff': [np.float64(3.38)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(23.59)]}","{'assigned_arms': [15, 41, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [38, 44], 'chosen_arm': [38], 'payoff': [np.float64(39.27)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(87.53)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(68.99)]}","{'assigned_arms': [26, 45, 4], 'chosen_arm': [26], 'payoff': [np.float64(94.09)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(62.17)]}","{'assigned_arms': [33, 11, 39], 'chosen_arm': [39], 'payoff': [np.float64(74.92)]}",55.94233333333333
