,Agent_0,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Agent_11,Agent_12,Agent_13,Agent_14,Agent_15,Agent_16,Agent_17,Agent_18,Agent_19,Agent_20,Agent_21,Agent_22,Agent_23,Agent_24,Agent_25,Agent_26,Agent_27,Agent_28,Agent_29,Total_Payoff
0,"{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(84.34)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(14.76)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(30.86)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(30.35)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(75.1)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(50.61)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(63.56)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(95.52)]}","{'assigned_arms': [30, 31, 36], 'chosen_arm': [30], 'payoff': [np.float64(55.29)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(14.15)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(46.19)]}","{'assigned_arms': [0, 8, 17, 35, 48], 'chosen_arm': [48], 'payoff': [np.float64(52.32)]}","{'assigned_arms': [11, 34], 'chosen_arm': [11], 'payoff': [np.float64(8.92)]}","{'assigned_arms': [16, 46], 'chosen_arm': [16], 'payoff': [np.float64(83.11)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(84.6)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(43.85)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(85.89)]}","{'assigned_arms': [13, 21, 27], 'chosen_arm': [27], 'payoff': [np.float64(57.22)]}","{'assigned_arms': [5, 29, 41], 'chosen_arm': [41], 'payoff': [np.float64(49.26)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [4, 49], 'chosen_arm': [49], 'payoff': [np.float64(85.67)]}","{'assigned_arms': [19, 39], 'chosen_arm': [19], 'payoff': [np.float64(34.73)]}","{'assigned_arms': [10, 25], 'chosen_arm': [25], 'payoff': [np.float64(1.47)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(24.89)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(50.01)]}","{'assigned_arms': [15, 24, 45], 'chosen_arm': [45], 'payoff': [np.float64(12.7)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(68.1)]}","{'assigned_arms': [18, 42, 44], 'chosen_arm': [42], 'payoff': [np.float64(35.59)]}","{'assigned_arms': [23, 28], 'chosen_arm': [28], 'payoff': [np.float64(72.16)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.99)]}",50.407
1,"{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(47.58)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(27.2)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(75.87)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(82.62)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(35.17)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(10.9)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(82.96)]}","{'assigned_arms': [14, 20, 21], 'chosen_arm': [20], 'payoff': [np.float64(21.45)]}","{'assigned_arms': [4, 13, 26], 'chosen_arm': [26], 'payoff': [np.float64(96.04)]}","{'assigned_arms': [0, 8], 'chosen_arm': [0], 'payoff': [np.float64(26.86)]}","{'assigned_arms': [2, 7, 30], 'chosen_arm': [30], 'payoff': [np.float64(65.03)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(51.31)]}","{'assigned_arms': [18, 28, 43], 'chosen_arm': [28], 'payoff': [np.float64(68.38)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(35.64)]}","{'assigned_arms': [11, 41], 'chosen_arm': [41], 'payoff': [np.float64(39.76)]}","{'assigned_arms': [33, 47], 'chosen_arm': [47], 'payoff': [np.float64(32.28)]}","{'assigned_arms': [10, 17, 35], 'chosen_arm': [35], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(88.35)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(86.64)]}","{'assigned_arms': [5, 31], 'chosen_arm': [5], 'payoff': [np.float64(98.72)]}","{'assigned_arms': [12, 22, 32, 48], 'chosen_arm': [12], 'payoff': [np.float64(72.5)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(65.15)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(14.28)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(16.64)]}","{'assigned_arms': [40, 44], 'chosen_arm': [44], 'payoff': [np.float64(39.39)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(82.88)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(67.54)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(88.55)]}","{'assigned_arms': [25, 27, 42], 'chosen_arm': [27], 'payoff': [np.float64(54.28)]}",55.79899999999999
2,"{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(54.2)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(17.05)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(30.21)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(39.1)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(33.65)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(47.15)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(57.35)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(76.26)]}","{'assigned_arms': [2, 13], 'chosen_arm': [2], 'payoff': [np.float64(52.77)]}","{'assigned_arms': [10, 23, 38], 'chosen_arm': [23], 'payoff': [np.float64(72.67)]}","{'assigned_arms': [47, 48], 'chosen_arm': [48], 'payoff': [np.float64(49.96)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(8.37)]}","{'assigned_arms': [4, 22], 'chosen_arm': [22], 'payoff': [np.float64(51.45)]}","{'assigned_arms': [3, 8, 20, 28, 33, 46], 'chosen_arm': [3], 'payoff': [np.float64(91.01)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(8.81)]}","{'assigned_arms': [14, 39], 'chosen_arm': [39], 'payoff': [np.float64(81.97)]}","{'assigned_arms': [18, 29, 40], 'chosen_arm': [29], 'payoff': [np.float64(8.16)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(93.12)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(59.89)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(73.24)]}","{'assigned_arms': [11, 30, 36], 'chosen_arm': [36], 'payoff': [np.float64(85.69)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(43.79)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(90.04)]}","{'assigned_arms': [26, 49], 'chosen_arm': [26], 'payoff': [np.float64(91.93)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(1.38)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(36.54)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(71.19)]}","{'assigned_arms': [0, 5, 19, 32, 41], 'chosen_arm': [32], 'payoff': [np.float64(76.06)]}",53.43366666666667
3,"{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(81.64)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(69.09)]}","{'assigned_arms': [14, 21, 34], 'chosen_arm': [34], 'payoff': [np.float64(52.52)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(75.54)]}","{'assigned_arms': [4, 5, 31], 'chosen_arm': [4], 'payoff': [np.float64(37.53)]}","{'assigned_arms': [1, 13, 22, 38], 'chosen_arm': [1], 'payoff': [np.float64(80.33)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(16.07)]}","{'assigned_arms': [12, 20, 48], 'chosen_arm': [48], 'payoff': [np.float64(59.8)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(81.3)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(96.8)]}","{'assigned_arms': [33, 42], 'chosen_arm': [33], 'payoff': [np.float64(3.18)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(37.42)]}","{'assigned_arms': [2, 15], 'chosen_arm': [15], 'payoff': [np.float64(14.48)]}","{'assigned_arms': [10, 19, 27], 'chosen_arm': [10], 'payoff': [np.float64(30.17)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(5.3)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(55.84)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(91.15)]}","{'assigned_arms': [24, 26, 44], 'chosen_arm': [26], 'payoff': [np.float64(83.46)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(84.22)]}","{'assigned_arms': [3, 7, 28], 'chosen_arm': [3], 'payoff': [np.float64(89.69)]}","{'assigned_arms': [11, 40], 'chosen_arm': [11], 'payoff': [np.float64(14.31)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(7.83)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(52.67)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(21.62)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(22.38)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(91.8)]}","{'assigned_arms': [23, 46], 'chosen_arm': [46], 'payoff': [np.float64(95.47)]}","{'assigned_arms': [6, 37], 'chosen_arm': [37], 'payoff': [np.float64(71.23)]}",54.09466666666667
4,"{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.45)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(61.64)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.75)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(30.41)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(93.39)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(56.48)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(63.52)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(8.56)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(25.71)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(70.58)]}","{'assigned_arms': [0, 28], 'chosen_arm': [28], 'payoff': [np.float64(65.76)]}","{'assigned_arms': [19, 22], 'chosen_arm': [22], 'payoff': [np.float64(51.27)]}","{'assigned_arms': [3, 6], 'chosen_arm': [3], 'payoff': [np.float64(92.77)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(16.38)]}","{'assigned_arms': [21, 31, 32], 'chosen_arm': [32], 'payoff': [np.float64(80.1)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(13.6)]}","{'assigned_arms': [5, 7, 14, 36, 46], 'chosen_arm': [36], 'payoff': [np.float64(76.06)]}","{'assigned_arms': [8, 12], 'chosen_arm': [12], 'payoff': [np.float64(73.75)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(44.98)]}","{'assigned_arms': [16, 30, 49], 'chosen_arm': [16], 'payoff': [np.float64(80.05)]}","{'assigned_arms': [9, 47], 'chosen_arm': [9], 'payoff': [np.float64(29.4)]}","{'assigned_arms': [17, 45], 'chosen_arm': [17], 'payoff': [np.float64(91.01)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(74.17)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(50.81)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(57.46)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(19.56)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(47.58)]}","{'assigned_arms': [1, 26, 29, 38], 'chosen_arm': [26], 'payoff': [np.float64(94.0)]}","{'assigned_arms': [4, 42, 43, 48], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}",52.339999999999996
5,"{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(93.84)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(25.44)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(98.83)]}","{'assigned_arms': [27, 42], 'chosen_arm': [27], 'payoff': [np.float64(52.86)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(1.7)]}","{'assigned_arms': [16, 29], 'chosen_arm': [16], 'payoff': [np.float64(83.6)]}","{'assigned_arms': [17, 32], 'chosen_arm': [32], 'payoff': [np.float64(80.33)]}","{'assigned_arms': [0, 13, 33, 35], 'chosen_arm': [13], 'payoff': [np.float64(12.94)]}","{'assigned_arms': [18, 38, 41], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(36.9)]}","{'assigned_arms': [28, 34], 'chosen_arm': [34], 'payoff': [np.float64(39.39)]}","{'assigned_arms': [1, 21, 31], 'chosen_arm': [1], 'payoff': [np.float64(80.14)]}","{'assigned_arms': [26, 39, 45], 'chosen_arm': [39], 'payoff': [np.float64(83.34)]}","{'assigned_arms': [5, 36], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(62.82)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(35.66)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(73.29)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(88.72)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(17.19)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(65.96)]}","{'assigned_arms': [14, 20], 'chosen_arm': [20], 'payoff': [np.float64(14.67)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(9.0)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(44.74)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(52.46)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(54.73)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(70.14)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(60.16)]}","{'assigned_arms': [11, 12, 23, 47], 'chosen_arm': [12], 'payoff': [np.float64(74.17)]}","{'assigned_arms': [24, 44], 'chosen_arm': [24], 'payoff': [np.float64(60.68)]}","{'assigned_arms': [7, 19], 'chosen_arm': [19], 'payoff': [np.float64(35.08)]}",56.95933333333334
6,"{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(86.58)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(9.82)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(69.64)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(79.26)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(32.5)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(18.97)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(71.6)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(73.46)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(29.53)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(35.37)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(32.27)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(45.95)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(46.93)]}","{'assigned_arms': [19, 25], 'chosen_arm': [19], 'payoff': [np.float64(30.82)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(98.85)]}","{'assigned_arms': [22, 44], 'chosen_arm': [44], 'payoff': [np.float64(40.99)]}","{'assigned_arms': [15, 18, 35], 'chosen_arm': [18], 'payoff': [np.float64(99.92)]}","{'assigned_arms': [4, 33, 37], 'chosen_arm': [37], 'payoff': [np.float64(71.77)]}","{'assigned_arms': [11, 13, 30, 46], 'chosen_arm': [13], 'payoff': [np.float64(20.17)]}","{'assigned_arms': [8, 14], 'chosen_arm': [8], 'payoff': [np.float64(61.4)]}","{'assigned_arms': [23, 39], 'chosen_arm': [39], 'payoff': [np.float64(90.54)]}","{'assigned_arms': [17, 41], 'chosen_arm': [17], 'payoff': [np.float64(95.14)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(85.67)]}","{'assigned_arms': [3, 7, 27], 'chosen_arm': [3], 'payoff': [np.float64(87.91)]}","{'assigned_arms': [0, 9, 24, 48], 'chosen_arm': [48], 'payoff': [np.float64(59.5)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(93.05)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(94.15)]}","{'assigned_arms': [10, 20], 'chosen_arm': [10], 'payoff': [np.float64(16.19)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(44.33)]}","{'assigned_arms': [1, 12, 45], 'chosen_arm': [1], 'payoff': [np.float64(77.15)]}",59.98100000000001
7,"{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(66.47)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(18.38)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(66.64)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(19.34)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(27.22)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(3.82)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(98.01)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(47.27)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(69.13)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(49.32)]}","{'assigned_arms': [16, 26], 'chosen_arm': [16], 'payoff': [np.float64(72.98)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(58.96)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(28.29)]}","{'assigned_arms': [7, 10, 21, 27, 42, 47], 'chosen_arm': [42], 'payoff': [np.float64(39.87)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(29.63)]}","{'assigned_arms': [1, 13, 15, 46], 'chosen_arm': [46], 'payoff': [np.float64(97.66)]}","{'assigned_arms': [11, 14, 38], 'chosen_arm': [38], 'payoff': [np.float64(43.92)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(29.55)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(39.57)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(6.34)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(17.5)]}","{'assigned_arms': [12, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(93.15)]}","{'assigned_arms': [30, 44], 'chosen_arm': [44], 'payoff': [np.float64(44.16)]}","{'assigned_arms': [2, 28, 32, 48], 'chosen_arm': [32], 'payoff': [np.float64(72.52)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(13.1)]}","{'assigned_arms': [18, 23, 37, 39], 'chosen_arm': [18], 'payoff': [np.float64(98.4)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(5.86)]}","{'assigned_arms': [36, 41], 'chosen_arm': [36], 'payoff': [np.float64(90.94)]}",51.6
8,"{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(84.2)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(14.08)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(99.51)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(89.47)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(36.97)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(76.19)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(52.83)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(27.59)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(3.81)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(99.02)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(16.58)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(78.99)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(28.28)]}","{'assigned_arms': [8, 13, 42], 'chosen_arm': [8], 'payoff': [np.float64(66.33)]}","{'assigned_arms': [27, 37], 'chosen_arm': [37], 'payoff': [np.float64(68.42)]}","{'assigned_arms': [44, 46], 'chosen_arm': [46], 'payoff': [np.float64(92.22)]}","{'assigned_arms': [12, 17, 20, 40, 45], 'chosen_arm': [17], 'payoff': [np.float64(90.74)]}","{'assigned_arms': [6, 14, 29], 'chosen_arm': [29], 'payoff': [np.float64(7.73)]}","{'assigned_arms': [3, 11, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(47.03)]}","{'assigned_arms': [7, 24], 'chosen_arm': [24], 'payoff': [np.float64(57.09)]}","{'assigned_arms': [9, 23, 32, 36], 'chosen_arm': [36], 'payoff': [np.float64(82.26)]}","{'assigned_arms': [28, 31, 38], 'chosen_arm': [28], 'payoff': [np.float64(70.04)]}","{'assigned_arms': [33, 48], 'chosen_arm': [48], 'payoff': [np.float64(50.35)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(33.52)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(25.12)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(92.88)]}","{'assigned_arms': [4, 10], 'chosen_arm': [4], 'payoff': [np.float64(31.54)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(40.32)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(60.41)]}",57.45066666666666
9,"{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(57.13)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(64.64)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(10.43)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(96.88)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(21.02)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(64.01)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(87.74)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(29.37)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(12.96)]}","{'assigned_arms': [13, 26], 'chosen_arm': [13], 'payoff': [np.float64(21.22)]}","{'assigned_arms': [30, 44], 'chosen_arm': [30], 'payoff': [np.float64(63.49)]}","{'assigned_arms': [27, 33], 'chosen_arm': [27], 'payoff': [np.float64(58.22)]}","{'assigned_arms': [0, 28], 'chosen_arm': [28], 'payoff': [np.float64(67.41)]}","{'assigned_arms': [3, 20, 31], 'chosen_arm': [3], 'payoff': [np.float64(92.14)]}","{'assigned_arms': [4, 40], 'chosen_arm': [40], 'payoff': [np.float64(11.94)]}","{'assigned_arms': [18, 23, 38, 41, 49], 'chosen_arm': [18], 'payoff': [np.float64(91.42)]}","{'assigned_arms': [21, 39], 'chosen_arm': [39], 'payoff': [np.float64(82.79)]}","{'assigned_arms': [6, 10, 35], 'chosen_arm': [10], 'payoff': [np.float64(20.91)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(76.91)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(90.09)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(6.84)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(76.22)]}","{'assigned_arms': [42, 46], 'chosen_arm': [46], 'payoff': [np.float64(86.85)]}","{'assigned_arms': [14, 29], 'chosen_arm': [14], 'payoff': [np.float64(9.86)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(33.6)]}","{'assigned_arms': [1, 22, 34], 'chosen_arm': [34], 'payoff': [np.float64(40.32)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(55.5)]}","{'assigned_arms': [2, 5, 8], 'chosen_arm': [5], 'payoff': [np.float64(97.48)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(91.5)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(35.69)]}",55.152666666666654
