,Agent_0,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Agent_11,Agent_12,Agent_13,Agent_14,Agent_15,Agent_16,Agent_17,Agent_18,Agent_19,Agent_20,Agent_21,Agent_22,Agent_23,Agent_24,Agent_25,Agent_26,Agent_27,Agent_28,Agent_29,Total_Payoff
0,"{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(84.34)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(80.06)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(30.86)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(38.52)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(75.1)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(50.61)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(63.56)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(95.52)]}","{'assigned_arms': [30, 31, 36], 'chosen_arm': [30], 'payoff': [np.float64(55.29)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(14.15)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(1.29)]}","{'assigned_arms': [0, 8, 17, 35, 48], 'chosen_arm': [35], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [11, 34], 'chosen_arm': [11], 'payoff': [np.float64(8.92)]}","{'assigned_arms': [16, 46], 'chosen_arm': [16], 'payoff': [np.float64(83.11)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(88.68)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(43.85)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(85.89)]}","{'assigned_arms': [13, 21, 27], 'chosen_arm': [13], 'payoff': [np.float64(18.45)]}","{'assigned_arms': [5, 29, 41], 'chosen_arm': [41], 'payoff': [np.float64(49.26)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [4, 49], 'chosen_arm': [49], 'payoff': [np.float64(85.67)]}","{'assigned_arms': [19, 39], 'chosen_arm': [39], 'payoff': [np.float64(85.75)]}","{'assigned_arms': [10, 25], 'chosen_arm': [10], 'payoff': [np.float64(25.96)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(24.89)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(50.01)]}","{'assigned_arms': [15, 24, 45], 'chosen_arm': [45], 'payoff': [np.float64(12.7)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(31.36)]}","{'assigned_arms': [18, 42, 44], 'chosen_arm': [42], 'payoff': [np.float64(35.59)]}","{'assigned_arms': [23, 28], 'chosen_arm': [28], 'payoff': [np.float64(72.16)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(5.07)]}",49.88733333333333
1,"{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(47.58)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(27.2)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(84.03)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(74.46)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(35.17)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(10.9)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(82.96)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(9.21)]}","{'assigned_arms': [4, 13, 26], 'chosen_arm': [26], 'payoff': [np.float64(96.04)]}","{'assigned_arms': [0, 8, 30], 'chosen_arm': [30], 'payoff': [np.float64(59.51)]}","{'assigned_arms': [2, 7, 38], 'chosen_arm': [2], 'payoff': [np.float64(67.07)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(90.08)]}","{'assigned_arms': [18, 28, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(35.64)]}","{'assigned_arms': [11, 41], 'chosen_arm': [41], 'payoff': [np.float64(39.76)]}","{'assigned_arms': [33, 47], 'chosen_arm': [47], 'payoff': [np.float64(32.28)]}","{'assigned_arms': [10, 17, 35], 'chosen_arm': [10], 'payoff': [np.float64(15.94)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(88.35)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(15.21)]}","{'assigned_arms': [5, 31], 'chosen_arm': [31], 'payoff': [np.float64(23.21)]}","{'assigned_arms': [12, 22, 32, 48], 'chosen_arm': [12], 'payoff': [np.float64(72.5)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(65.15)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(22.45)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(65.62)]}","{'assigned_arms': [40, 44, 45], 'chosen_arm': [40], 'payoff': [np.float64(18.98)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(82.88)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(85.9)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(35.49)]}","{'assigned_arms': [25, 27, 42], 'chosen_arm': [42], 'payoff': [np.float64(35.91)]}",53.98266666666668
2,"{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(54.2)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(17.05)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(30.21)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(39.1)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(47.93)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(32.86)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(81.84)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(57.89)]}","{'assigned_arms': [13, 38], 'chosen_arm': [38], 'payoff': [np.float64(38.48)]}","{'assigned_arms': [23, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [10, 47, 48], 'chosen_arm': [48], 'payoff': [np.float64(49.96)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(34.9)]}","{'assigned_arms': [4, 22, 46], 'chosen_arm': [22], 'payoff': [np.float64(51.45)]}","{'assigned_arms': [3, 8, 20, 33], 'chosen_arm': [3], 'payoff': [np.float64(91.01)]}","{'assigned_arms': [15, 28], 'chosen_arm': [28], 'payoff': [np.float64(63.91)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(6.46)]}","{'assigned_arms': [18, 29, 39, 40], 'chosen_arm': [39], 'payoff': [np.float64(79.59)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(93.12)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(59.89)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(73.24)]}","{'assigned_arms': [11, 30, 36], 'chosen_arm': [36], 'payoff': [np.float64(85.69)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(58.08)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(4.33)]}","{'assigned_arms': [26, 49], 'chosen_arm': [26], 'payoff': [np.float64(91.93)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(1.38)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(36.54)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(71.19)]}","{'assigned_arms': [0, 5, 19, 32, 41], 'chosen_arm': [41], 'payoff': [np.float64(47.49)]}",53.324000000000005
3,"{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(81.64)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(69.09)]}","{'assigned_arms': [14, 21], 'chosen_arm': [14], 'payoff': [np.float64(15.79)]}","{'assigned_arms': [5, 32], 'chosen_arm': [32], 'payoff': [np.float64(75.54)]}","{'assigned_arms': [1, 4, 31, 38], 'chosen_arm': [1], 'payoff': [np.float64(82.43)]}","{'assigned_arms': [13, 22], 'chosen_arm': [22], 'payoff': [np.float64(49.72)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(9.94)]}","{'assigned_arms': [20, 48], 'chosen_arm': [20], 'payoff': [np.float64(21.02)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(79.26)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(23.33)]}","{'assigned_arms': [2, 33, 36, 42], 'chosen_arm': [36], 'payoff': [np.float64(88.89)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(37.42)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(14.48)]}","{'assigned_arms': [10, 19, 27, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(96.38)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(5.3)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(55.84)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(73.21)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(40.13)]}","{'assigned_arms': [16, 24, 26, 44], 'chosen_arm': [26], 'payoff': [np.float64(83.46)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(10.76)]}","{'assigned_arms': [3, 7], 'chosen_arm': [3], 'payoff': [np.float64(89.69)]}","{'assigned_arms': [11, 28], 'chosen_arm': [28], 'payoff': [np.float64(73.5)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(13.95)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(52.67)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(21.62)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(22.38)]}","{'assigned_arms': [18, 23], 'chosen_arm': [23], 'payoff': [np.float64(65.26)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(95.47)]}","{'assigned_arms': [6, 37], 'chosen_arm': [37], 'payoff': [np.float64(71.23)]}",53.980000000000004
4,"{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(41.27)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(61.64)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.75)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(30.41)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(64.64)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(88.01)]}","{'assigned_arms': [11, 15], 'chosen_arm': [11], 'payoff': [np.float64(8.56)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(48.16)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(70.58)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(24.94)]}","{'assigned_arms': [19, 22, 28], 'chosen_arm': [28], 'payoff': [np.float64(69.64)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(53.99)]}","{'assigned_arms': [3, 32], 'chosen_arm': [3], 'payoff': [np.float64(95.97)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(29.08)]}","{'assigned_arms': [20, 21], 'chosen_arm': [21], 'payoff': [np.float64(27.88)]}","{'assigned_arms': [5, 7, 8, 14, 46], 'chosen_arm': [46], 'payoff': [np.float64(74.02)]}","{'assigned_arms': [12, 36], 'chosen_arm': [36], 'payoff': [np.float64(86.0)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [16, 30], 'chosen_arm': [16], 'payoff': [np.float64(87.83)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(73.93)]}","{'assigned_arms': [9, 17, 47], 'chosen_arm': [47], 'payoff': [np.float64(19.19)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(11.41)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(74.17)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(71.22)]}","{'assigned_arms': [13, 27], 'chosen_arm': [27], 'payoff': [np.float64(57.46)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(23.65)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(82.27)]}","{'assigned_arms': [26, 29, 38, 41], 'chosen_arm': [26], 'payoff': [np.float64(94.0)]}","{'assigned_arms': [4, 42, 43, 48], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}",52.35566666666668
5,"{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(93.84)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(25.44)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(19.24)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(89.6)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(73.13)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(83.6)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(43.6)]}","{'assigned_arms': [0, 13, 17, 18, 33, 35], 'chosen_arm': [13], 'payoff': [np.float64(12.94)]}","{'assigned_arms': [38, 41], 'chosen_arm': [38], 'payoff': [np.float64(52.71)]}","{'assigned_arms': [1, 9], 'chosen_arm': [1], 'payoff': [np.float64(77.72)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(39.39)]}","{'assigned_arms': [21, 28, 31], 'chosen_arm': [28], 'payoff': [np.float64(67.9)]}","{'assigned_arms': [2, 26, 45], 'chosen_arm': [26], 'payoff': [np.float64(91.51)]}","{'assigned_arms': [5, 39], 'chosen_arm': [39], 'payoff': [np.float64(91.19)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(56.7)]}","{'assigned_arms': [4, 36], 'chosen_arm': [36], 'payoff': [np.float64(88.72)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(73.29)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(88.72)]}","{'assigned_arms': [30, 40], 'chosen_arm': [30], 'payoff': [np.float64(55.96)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(6.78)]}","{'assigned_arms': [14, 20], 'chosen_arm': [20], 'payoff': [np.float64(14.67)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(45.73)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(69.23)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(5.52)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(54.73)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(76.26)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(39.75)]}","{'assigned_arms': [11, 12, 23, 47], 'chosen_arm': [12], 'payoff': [np.float64(74.17)]}","{'assigned_arms': [24, 44], 'chosen_arm': [24], 'payoff': [np.float64(60.68)]}","{'assigned_arms': [7, 19], 'chosen_arm': [7], 'payoff': [np.float64(55.48)]}",57.606666666666676
6,"{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(41.68)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(9.82)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(69.64)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(95.58)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(77.4)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(18.97)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(26.7)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(64.22)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(31.29)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(32.27)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(45.95)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(46.93)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(30.82)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(98.85)]}","{'assigned_arms': [18, 22, 36, 44], 'chosen_arm': [36], 'payoff': [np.float64(87.93)]}","{'assigned_arms': [15, 35], 'chosen_arm': [15], 'payoff': [np.float64(16.24)]}","{'assigned_arms': [4, 33, 37, 46], 'chosen_arm': [46], 'payoff': [np.float64(86.06)]}","{'assigned_arms': [8, 11, 13, 30], 'chosen_arm': [30], 'payoff': [np.float64(63.03)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(2.22)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(45.64)]}","{'assigned_arms': [17, 23, 39, 41], 'chosen_arm': [17], 'payoff': [np.float64(95.14)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(79.55)]}","{'assigned_arms': [3, 7, 27], 'chosen_arm': [3], 'payoff': [np.float64(87.91)]}","{'assigned_arms': [0, 9, 24, 48], 'chosen_arm': [24], 'payoff': [np.float64(65.62)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(93.05)]}","{'assigned_arms': [10, 43], 'chosen_arm': [43], 'payoff': [np.float64(94.15)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(10.07)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(81.06)]}","{'assigned_arms': [12, 45], 'chosen_arm': [12], 'payoff': [np.float64(73.07)]}",55.69533333333333
7,"{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(66.47)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(18.38)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(19.44)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(93.17)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(76.48)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(27.22)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(3.82)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(98.01)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(22.78)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [6, 8, 16, 17, 22], 'chosen_arm': [17], 'payoff': [np.float64(90.14)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(32.16)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(99.78)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(60.94)]}","{'assigned_arms': [10, 27, 42, 47], 'chosen_arm': [10], 'payoff': [np.float64(27.62)]}","{'assigned_arms': [1, 21], 'chosen_arm': [21], 'payoff': [np.float64(27.59)]}","{'assigned_arms': [4, 13, 15, 38], 'chosen_arm': [38], 'payoff': [np.float64(58.89)]}","{'assigned_arms': [11, 14, 19, 46], 'chosen_arm': [46], 'payoff': [np.float64(82.69)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(19.34)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(39.57)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(6.34)]}","{'assigned_arms': [43, 45], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(78.93)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(58.46)]}","{'assigned_arms': [2, 32, 44], 'chosen_arm': [32], 'payoff': [np.float64(76.81)]}","{'assigned_arms': [28, 48], 'chosen_arm': [28], 'payoff': [np.float64(66.4)]}","{'assigned_arms': [18, 39], 'chosen_arm': [18], 'payoff': [np.float64(98.81)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(71.87)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(75.24)]}","{'assigned_arms': [36, 41], 'chosen_arm': [36], 'payoff': [np.float64(90.94)]}",56.27633333333334
8,"{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(84.2)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(93.67)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(99.51)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(50.7)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(73.7)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(52.83)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(45.95)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(5.14)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(16.58)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(23.89)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(40.52)]}","{'assigned_arms': [8, 13, 21, 42], 'chosen_arm': [42], 'payoff': [np.float64(37.76)]}","{'assigned_arms': [17, 37, 44], 'chosen_arm': [17], 'payoff': [np.float64(90.86)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(61.61)]}","{'assigned_arms': [20, 40, 45], 'chosen_arm': [40], 'payoff': [np.float64(17.27)]}","{'assigned_arms': [6, 12, 14, 29, 46], 'chosen_arm': [46], 'payoff': [np.float64(83.24)]}","{'assigned_arms': [3, 11], 'chosen_arm': [3], 'payoff': [np.float64(93.93)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(98.05)]}","{'assigned_arms': [7, 36], 'chosen_arm': [36], 'payoff': [np.float64(81.58)]}","{'assigned_arms': [9, 32, 38], 'chosen_arm': [32], 'payoff': [np.float64(67.97)]}","{'assigned_arms': [28, 31], 'chosen_arm': [28], 'payoff': [np.float64(70.04)]}","{'assigned_arms': [23, 24, 33, 48], 'chosen_arm': [23], 'payoff': [np.float64(62.59)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(33.52)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(78.18)]}","{'assigned_arms': [10, 26], 'chosen_arm': [26], 'payoff': [np.float64(92.88)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(31.54)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(26.04)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(60.41)]}",59.13866666666667
9,"{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(57.13)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(64.64)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(10.43)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(96.88)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(21.02)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(84.42)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(67.33)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(29.37)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(12.96)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(21.22)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(63.49)]}","{'assigned_arms': [33, 36], 'chosen_arm': [36], 'payoff': [np.float64(90.87)]}","{'assigned_arms': [0, 26], 'chosen_arm': [26], 'payoff': [np.float64(89.86)]}","{'assigned_arms': [3, 20, 27, 28, 31], 'chosen_arm': [3], 'payoff': [np.float64(92.14)]}","{'assigned_arms': [4, 18, 40], 'chosen_arm': [18], 'payoff': [np.float64(87.45)]}","{'assigned_arms': [38, 41], 'chosen_arm': [38], 'payoff': [np.float64(42.44)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(33.81)]}","{'assigned_arms': [6, 10, 23, 35, 39], 'chosen_arm': [39], 'payoff': [np.float64(78.05)]}","{'assigned_arms': [32, 46, 49], 'chosen_arm': [46], 'payoff': [np.float64(89.16)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(2.33)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(35.41)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(45.61)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(72.56)]}","{'assigned_arms': [14, 29, 42], 'chosen_arm': [29], 'payoff': [np.float64(13.94)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(47.88)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(46.44)]}","{'assigned_arms': [1, 48], 'chosen_arm': [1], 'payoff': [np.float64(77.95)]}","{'assigned_arms': [2, 5, 8], 'chosen_arm': [5], 'payoff': [np.float64(97.48)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(91.5)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(35.69)]}",56.64866666666668
