,Agent_0,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Agent_11,Agent_12,Agent_13,Agent_14,Agent_15,Agent_16,Agent_17,Agent_18,Agent_19,Agent_20,Agent_21,Agent_22,Agent_23,Agent_24,Agent_25,Agent_26,Agent_27,Agent_28,Agent_29,Total_Payoff
0,"{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [78.22]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [41.29]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [85.96]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [0.0]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [26.12]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [22.04]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [8.46]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [22.05]}","{'assigned_arms': [40, 4, 46], 'chosen_arm': [46], 'payoff': [81.82]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [40.68]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [1.29]}","{'assigned_arms': [26, 29, 9, 19, 5], 'chosen_arm': [29], 'payoff': [5.38]}","{'assigned_arms': [39, 0], 'chosen_arm': [39], 'payoff': [82.39]}","{'assigned_arms': [49, 17], 'chosen_arm': [49], 'payoff': [76.98]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [62.15]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [74.47]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [8.33]}","{'assigned_arms': [35, 8, 47], 'chosen_arm': [47], 'payoff': [30.69]}","{'assigned_arms': [24, 13, 36], 'chosen_arm': [36], 'payoff': [92.12]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [68.58]}","{'assigned_arms': [11, 38], 'chosen_arm': [11], 'payoff': [16.28]}","{'assigned_arms': [18, 27], 'chosen_arm': [27], 'payoff': [59.22]}","{'assigned_arms': [23, 12], 'chosen_arm': [23], 'payoff': [70.85]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [75.91]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [37.76]}","{'assigned_arms': [43, 34, 45], 'chosen_arm': [45], 'payoff': [12.7]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [45.65]}","{'assigned_arms': [28, 42, 2], 'chosen_arm': [42], 'payoff': [35.59]}","{'assigned_arms': [3, 30], 'chosen_arm': [30], 'payoff': [64.0]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [49.97]}",45.89833333333333
1,"{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [33.29]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [45.57]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [71.78]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [66.29]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [16.81]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [78.24]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [72.75]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [19.41]}","{'assigned_arms': [44, 18, 37], 'chosen_arm': [44], 'payoff': [47.06]}","{'assigned_arms': [0, 21], 'chosen_arm': [21], 'payoff': [32.98]}","{'assigned_arms': [6, 26], 'chosen_arm': [6], 'payoff': [58.91]}","{'assigned_arms': [39, 3, 33], 'chosen_arm': [39], 'payoff': [86.0]}","{'assigned_arms': [14, 12, 41, 16], 'chosen_arm': [41], 'payoff': [45.93]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [78.5]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [41.8]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [13.91]}","{'assigned_arms': [15, 20, 23], 'chosen_arm': [20], 'payoff': [9.81]}","{'assigned_arms': [27, 10], 'chosen_arm': [27], 'payoff': [55.7]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [5.0]}","{'assigned_arms': [19, 36, 5], 'chosen_arm': [36], 'payoff': [88.52]}","{'assigned_arms': [17, 48], 'chosen_arm': [48], 'payoff': [54.14]}","{'assigned_arms': [7, 43], 'chosen_arm': [7], 'payoff': [46.79]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [69.39]}","{'assigned_arms': [47, 35], 'chosen_arm': [47], 'payoff': [30.93]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [76.12]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [66.55]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [41.0]}","{'assigned_arms': [45, 30], 'chosen_arm': [30], 'payoff': [68.13]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [25.28]}","{'assigned_arms': [4, 34, 11], 'chosen_arm': [11], 'payoff': [7.34]}",48.464333333333315
2,"{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [56.24]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [61.95]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [24.08]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [0.0]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [88.75]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [92.04]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [12.45]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [53.79]}","{'assigned_arms': [43, 14, 44], 'chosen_arm': [44], 'payoff': [37.48]}","{'assigned_arms': [42, 35, 46, 24], 'chosen_arm': [46], 'payoff': [77.26]}","{'assigned_arms': [22, 37], 'chosen_arm': [37], 'payoff': [74.71]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [39.76]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [67.55]}","{'assigned_arms': [12, 49], 'chosen_arm': [49], 'payoff': [80.03]}","{'assigned_arms': [33, 48, 10], 'chosen_arm': [48], 'payoff': [56.32]}","{'assigned_arms': [2, 30, 1], 'chosen_arm': [1], 'payoff': [76.16]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [8.51]}","{'assigned_arms': [18, 23], 'chosen_arm': [18], 'payoff': [93.87]}","{'assigned_arms': [36, 16, 8], 'chosen_arm': [36], 'payoff': [97.2]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [19.07]}","{'assigned_arms': [3, 39], 'chosen_arm': [39], 'payoff': [77.07]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [16.09]}","{'assigned_arms': [40, 21], 'chosen_arm': [21], 'payoff': [30.59]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [58.08]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [2.29]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [36.82]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [87.09]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [46.74]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [28.33]}","{'assigned_arms': [0, 45, 13, 7, 9], 'chosen_arm': [7], 'payoff': [53.61]}",51.79766666666665
3,"{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [71.44]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [36.43]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [66.81]}","{'assigned_arms': [24, 5], 'chosen_arm': [5], 'payoff': [100.0]}","{'assigned_arms': [45, 40, 6, 29], 'chosen_arm': [45], 'payoff': [17.12]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [49.72]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [40.56]}","{'assigned_arms': [34, 13], 'chosen_arm': [34], 'payoff': [45.51]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [69.05]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [21.29]}","{'assigned_arms': [46, 36, 2, 26, 19], 'chosen_arm': [46], 'payoff': [86.85]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [82.32]}","{'assigned_arms': [14, 10], 'chosen_arm': [10], 'payoff': [26.72]}","{'assigned_arms': [49, 43], 'chosen_arm': [49], 'payoff': [83.23]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [78.02]}","{'assigned_arms': [7, 28], 'chosen_arm': [28], 'payoff': [72.65]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [25.23]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [89.54]}","{'assigned_arms': [41, 18], 'chosen_arm': [41], 'payoff': [42.17]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [20.19]}","{'assigned_arms': [9, 39, 3], 'chosen_arm': [39], 'payoff': [82.18]}","{'assigned_arms': [20, 33], 'chosen_arm': [20], 'payoff': [16.22]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [79.62]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [62.93]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [30.22]}","{'assigned_arms': [11, 30, 1], 'chosen_arm': [30], 'payoff': [54.28]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [0.0]}","{'assigned_arms': [38, 44], 'chosen_arm': [38], 'payoff': [42.82]}","{'assigned_arms': [27, 42], 'chosen_arm': [42], 'payoff': [46.49]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [3.88]}",51.449666666666666
4,"{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [33.1]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [84.09]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [47.69]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [40.61]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [7.68]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [7.5]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [12.5]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [6.52]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [95.1]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [19.55]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [78.0]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [71.68]}","{'assigned_arms': [38, 48], 'chosen_arm': [48], 'payoff': [58.07]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [63.31]}","{'assigned_arms': [32, 0, 35], 'chosen_arm': [32], 'payoff': [80.1]}","{'assigned_arms': [44, 28], 'chosen_arm': [28], 'payoff': [62.57]}","{'assigned_arms': [18, 9], 'chosen_arm': [18], 'payoff': [84.22]}","{'assigned_arms': [34, 17], 'chosen_arm': [17], 'payoff': [92.12]}","{'assigned_arms': [36, 42, 2, 25, 5], 'chosen_arm': [5], 'payoff': [92.86]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [89.87]}","{'assigned_arms': [10, 41], 'chosen_arm': [41], 'payoff': [41.28]}","{'assigned_arms': [43, 27], 'chosen_arm': [43], 'payoff': [90.62]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [19.58]}","{'assigned_arms': [39, 47], 'chosen_arm': [39], 'payoff': [74.17]}","{'assigned_arms': [49, 8, 7], 'chosen_arm': [49], 'payoff': [85.5]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [18.68]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [33.85]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [4.72]}","{'assigned_arms': [24, 37, 3, 6], 'chosen_arm': [37], 'payoff': [75.63]}","{'assigned_arms': [15, 11, 12], 'chosen_arm': [11], 'payoff': [13.83]}",52.833333333333336
5,"{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [32.62]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [54.01]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [41.69]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [12.05]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [95.58]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [16.26]}","{'assigned_arms': [14, 23], 'chosen_arm': [14], 'payoff': [12.98]}","{'assigned_arms': [34, 31, 42], 'chosen_arm': [34], 'payoff': [39.47]}","{'assigned_arms': [26, 15, 38, 29], 'chosen_arm': [38], 'payoff': [52.71]}","{'assigned_arms': [41, 36, 43, 44, 1], 'chosen_arm': [43], 'payoff': [98.12]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [82.24]}","{'assigned_arms': [8, 32, 16, 24], 'chosen_arm': [16], 'payoff': [84.22]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [58.86]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [36.09]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [93.43]}","{'assigned_arms': [35, 18, 28], 'chosen_arm': [18], 'payoff': [96.88]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [38.59]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [78.52]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [47.8]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [8.82]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [20.79]}","{'assigned_arms': [47, 37], 'chosen_arm': [37], 'payoff': [68.18]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [3.92]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [50.42]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [79.22]}","{'assigned_arms': [39, 21], 'chosen_arm': [39], 'payoff': [80.34]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [80.57]}","{'assigned_arms': [40, 22], 'chosen_arm': [40], 'payoff': [19.07]}","{'assigned_arms': [2, 30], 'chosen_arm': [30], 'payoff': [56.59]}","{'assigned_arms': [20, 25], 'chosen_arm': [20], 'payoff': [22.83]}",52.09566666666665
6,"{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [68.21]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [42.47]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [45.15]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [100.0]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [69.24]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [25.09]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [59.35]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [85.7]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [88.71]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [6.8]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [48.6]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [50.03]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [0.0]}","{'assigned_arms': [31, 25, 49], 'chosen_arm': [49], 'payoff': [77.76]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [35.58]}","{'assigned_arms': [1, 28, 45], 'chosen_arm': [1], 'payoff': [79.77]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [36.65]}","{'assigned_arms': [47, 15, 35], 'chosen_arm': [35], 'payoff': [4.43]}","{'assigned_arms': [40, 41, 22], 'chosen_arm': [41], 'payoff': [48.74]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [81.81]}","{'assigned_arms': [48, 39, 37, 30, 13], 'chosen_arm': [39], 'payoff': [90.54]}","{'assigned_arms': [43, 36, 10], 'chosen_arm': [43], 'payoff': [100.0]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [85.67]}","{'assigned_arms': [29, 24, 12, 27], 'chosen_arm': [27], 'payoff': [51.18]}","{'assigned_arms': [14, 32], 'chosen_arm': [32], 'payoff': [75.83]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [21.62]}","{'assigned_arms': [18, 6], 'chosen_arm': [18], 'payoff': [90.07]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [85.58]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [32.08]}","{'assigned_arms': [38, 44], 'chosen_arm': [38], 'payoff': [44.49]}",57.70499999999999
7,"{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [70.55]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [79.6]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [15.36]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [29.9]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [96.89]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [37.43]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [93.62]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [42.91]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [67.67]}","{'assigned_arms': [15, 30, 22], 'chosen_arm': [15], 'payoff': [3.82]}","{'assigned_arms': [46, 37], 'chosen_arm': [46], 'payoff': [81.97]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [34.2]}","{'assigned_arms': [48, 32], 'chosen_arm': [32], 'payoff': [83.45]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [87.47]}","{'assigned_arms': [2, 40, 25, 13, 3], 'chosen_arm': [3], 'payoff': [94.97]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [41.88]}","{'assigned_arms': [45, 29, 18], 'chosen_arm': [18], 'payoff': [100.0]}","{'assigned_arms': [19, 44, 10], 'chosen_arm': [19], 'payoff': [27.59]}","{'assigned_arms': [6, 36, 17], 'chosen_arm': [17], 'payoff': [92.81]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [27.33]}","{'assigned_arms': [39, 4], 'chosen_arm': [39], 'payoff': [83.89]}","{'assigned_arms': [1, 35, 43], 'chosen_arm': [43], 'payoff': [100.0]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [11.58]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [54.38]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [42.12]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [21.5]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [72.28]}","{'assigned_arms': [33, 8, 12], 'chosen_arm': [8], 'payoff': [67.79]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [54.83]}","{'assigned_arms': [21, 20], 'chosen_arm': [21], 'payoff': [35.84]}",58.454333333333324
8,"{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [51.55]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [99.79]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [89.3]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [60.9]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [34.93]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [76.19]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [0.0]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [13.3]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [81.36]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [19.43]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [30.87]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [78.99]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [38.48]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [47.96]}","{'assigned_arms': [11, 45, 40, 3, 7], 'chosen_arm': [45], 'payoff': [11.27]}","{'assigned_arms': [29, 15, 8], 'chosen_arm': [15], 'payoff': [18.75]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [90.74]}","{'assigned_arms': [18, 19], 'chosen_arm': [18], 'payoff': [93.44]}","{'assigned_arms': [42, 14, 37, 5, 36], 'chosen_arm': [5], 'payoff': [100.0]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [55.2]}","{'assigned_arms': [10, 39, 4], 'chosen_arm': [39], 'payoff': [75.46]}","{'assigned_arms': [43, 2, 33], 'chosen_arm': [43], 'payoff': [94.5]}","{'assigned_arms': [30, 31, 35, 22], 'chosen_arm': [30], 'payoff': [61.87]}","{'assigned_arms': [32, 27, 9], 'chosen_arm': [32], 'payoff': [66.68]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [39.64]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [63.89]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [31.65]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [72.36]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [64.81]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [64.5]}",57.59366666666667
9,"{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [77.54]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [36.07]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [81.86]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [9.12]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [100.0]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [15.03]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [44.88]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [27.33]}","{'assigned_arms': [21, 40, 8], 'chosen_arm': [40], 'payoff': [21.12]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [100.0]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [4.31]}","{'assigned_arms': [2, 12], 'chosen_arm': [12], 'payoff': [78.63]}","{'assigned_arms': [11, 32, 6], 'chosen_arm': [32], 'payoff': [73.53]}","{'assigned_arms': [19, 49, 35, 0], 'chosen_arm': [49], 'payoff': [77.86]}","{'assigned_arms': [22, 24], 'chosen_arm': [24], 'payoff': [54.8]}","{'assigned_arms': [23, 1, 13, 31], 'chosen_arm': [1], 'payoff': [75.09]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [19.52]}","{'assigned_arms': [41, 3, 16, 18], 'chosen_arm': [18], 'payoff': [92.34]}","{'assigned_arms': [47, 36], 'chosen_arm': [36], 'payoff': [91.2]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [59.48]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [88.47]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [100.0]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [39.91]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [58.84]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [15.23]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [40.32]}","{'assigned_arms': [26, 30, 7, 33], 'chosen_arm': [26], 'payoff': [88.15]}","{'assigned_arms': [14, 10], 'chosen_arm': [10], 'payoff': [24.01]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [64.97]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [39.77]}",56.646
